"class","penumbra","distribution","activity","evolution","flare24.activity","history","sun.disk","area","largest.spot","class_flare"
"F","X","C","1","3","1","1","1","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"B","H","I","1","3","1","1","2","1","1","M"
"F","A","C","1","2","1","1","1","1","1","M"
"F","H","C","1","1","1","1","2","1","1","M"
"B","X","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","X","I","1","3","1","1","2","1","1","M"
"B","X","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"B","X","I","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","O","1","2","1","1","2","1","1","M"
"B","H","I","2","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"C","A","O","1","3","1","1","2","1","1","M"
"F","H","C","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"F","H","C","1","2","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","I","2","2","1","2","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"C","X","O","2","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"C","A","I","1","3","1","1","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"A","K","I","1","1","1","2","2","1","1","M"
"A","K","I","1","1","1","1","2","1","1","M"
"B","A","O","2","1","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
"C","A","O","1","3","1","2","2","1","1","M"
"A","K","I","1","2","1","1","2","1","1","M"
"B","A","I","1","3","1","1","2","1","1","M"
"F","X","C","1","2","1","1","1","1","1","M"
"A","K","I","1","2","1","2","2","1","1","M"
"A","K","I","1","3","1","1","2","1","1","M"
